"filename", "language", "Properties", "SQL", "PHP", "CSS", "Markdown", "JSON", "JavaScript", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\logic\login.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 6, 30
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\logic\register.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 3, 7, 37
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\logic\test.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 9, 23
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\planningpoker.js.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\_animations.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1354, 0, 11, 315, 1680
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\_components.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\_layouts.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 7, 54
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 8, 32
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\components\_button.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 7, 50
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\components\_card.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\components\_checkbox.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 8, 57
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\components\_form.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 15, 110
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\components\_main-box.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 10, 69
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\components\_modal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 18, 0, 27, 6, 51
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\layouts\_body.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 8, 52
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\layouts\_game.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 33, 227
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\layouts\_home.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 4, 31
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\layouts\_information.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 12, 71
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\layouts\_invites.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\layouts\_nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 17, 105
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\layouts\_profile.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\.ignore\layouts\_view.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
